,점포명,제품군,판매량
1575,(959)목동점,B Type,3548
66,(150)E/T구성점,B Type,3267
45,(1413)E/T스타필드고양점,B Type,3267
42,(1412)E/T스타필드하남점,B Type,3137
75,(153)E/T서면점,B Type,2991
1491,(930)죽전점,B Type,2904
69,(151)E/T송림점,B Type,2870
36,(1409)E/T수원점,B Type,2783
1392,(610)부천점,B Type,2734
57,(1417)E/T월계점,B Type,2716
63,(1419)E/T스타필드명지점,B Type,2565
72,(152)E/T월평점,B Type,2522
60,(1418)E/T스타필드부천점,B Type,2408
48,(1414)E/T군포점,B Type,2338
1509,(936)동백점,B Type,2305
39,(1410)E/T킨텍스점,B Type,2301
1503,(934)서귀포점,B Type,2258
1410,(650)명일점,B Type,2239
1632,(979)마포공덕점,B Type,2207
1542,(947)동탄점,B Type,2174
